,TITRE COMMENTAIRE,DATE EXPERIENCE,COMMENTAIRE,QUI A COMMENTÉ,NOMBRE AVIS LAISSÉ PAR CETTE PERSONNE,LOCALISATION DE LA PERSONNE QUI A COMMENTÉ,PRÉSENCE D'UNE RÉPONSE (booléen),QUI A RÉPONDU,RÉPONSE AU COMMENTAIRE,NOMBRE D'ÉTOILE
44,Bonne expérience,08 mars 2023,"Colis livré dans les délais et bien protégé
J'aurai aimé plus de détails dans l'annonce Car le produit ne correspond pas tout à fait à ce que j'imaginais et les frais de retour sont exorbitants",DIANE DANJOU,3 avis,FR,True,Showroomprive.com,"Bonjour Diane,

Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.

Par ailleurs, je vous informe avoir pris en compte votre observation et me permettrai d'en faire part à notre direction afin d'y remédier dans le s plus brefs délais.

Cordialement,

Ghita",4
45,Réactivité et Sérieux sont toujours au rdv,12 mars 2023,"Mon colis est arrivé avant le délai initialement prévu
La Clarté la Communication et le Professionnalisme sont toujours au rdv",Mlle TOLA NICOLE,3 avis,FR,True,Showroomprive.com,"Bonjour Nicole,

Toute l'équipe de Showroomprive.com tient à vous remercier pour le retour positif que vous avez pris soin de partager.

Votre commentaire nous touche sincèrement et sera transmis à notre équipe.

Bien à vous,

Othmane",5
46,Je suis satisfaite de vos services,11 mars 2023,"Je suis satisfaite de vos services, emballage parfait.
Conforme à ma commande ; toutefois, je trouve le délai de livraison un peu long......",Mme SERFILIPPI MICHELE,4 avis,FR,True,Showroomprive.com,"Bonjour Michèle,

Je vous remercie énormément pour votre appréciation.

Nous faisons de notre mieux afin d'améliorer nos délais.

Cordialement,

Ghita",4
47,FLIP flop les sandales idéales pour la marche,11 mars 2023,"J'ai eu un large choix dans la marque FLIP FLOP et avec des prix très intéressants.
Une livraison très rapide.je recommande Showroomprive.",Beye ndella,2 avis,FR,True,Showroomprive.com,"Bonjour Beye,

Vous nous faites part de votre satisfaction quant à la livraison rapide de votre commande.

Nous vous remercions pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
48,Decoration murale,12 mars 2023,Ravie de cette commande. Tout est bien arrivé avec un peu de retard car pb de livraison mais le rendu est très satisfaisant,Muriel,2 avis,FR,True,Showroomprive.com,"Bonjour Muriel,

Nous vous remercions d'avoir partagé cette appréciation si positive avec les internautes.

Nous continuerons à faire notre maximum pour vous apporter entière satisfaction.

À très bientôt sur Showroomprive.com.

Cordialement,

Othmane",5
49,"Couleur pas terrible, mais délai respecté.",13 mars 2023,"Bien que la couleur ne soit pas exactement celle attendue, satisfaction. Je note que le délai a été respecté.",Nicole Audabram,2 avis,FR,True,Showroomprive.com,"Bonjour Nicole,

Un grand merci pour votre avis !

Nous sommes heureux de vous compter parmi nos clients.

A bientôt sur nos ventes.

Bien à vous,

Ghita",4
50,A fuir,24 novembre 2022,"A fuir
J'ai commander un canapé bobochic au moi de novembre livraison prévu début février
Commande reçu le 8 février
Mais la commande ne correspond pas du tt il manque des éléments je n'ai pas de dossier pas de méridienne pas d'accoudoirs..... J'ai juste un élément qui correspond et des éléments en doubles je contact showroom directement une fois la commande déballer et la notice étudier
Et la !!!! Il a fallu envoyer un mail en expliquant le problème que j'ai fait bien évidement
Et les réponses ont été d'attendre 6 jours ouvrés la réponse du fournisseur puis encore 6 jours puis un incident technique enfin je vous en passe
Ma patience ayant des limites j'exige de parler à un responsable j'attend encore 2 semaines et là on me dit que je ne pourrais pas avoir ma commande complète mais que je peux aller chez un commerçant ou menuisier (ni queue ni tête ) pour la partie manquante et que showroom me rembourseras la différence cette proposition n'étant pas du tt possible ou la 2eme un transporteur vient récupérer le canapé et avec un remboursement qui se feras quand il se feras.....
Voilà j'ai payer un canapé 1300 € showroom a l'argent depuis le moi de novembre et je n'ai pas ma commande a part me présenter des excuses qui sont pour moi que du ""blabla"" il n'y a pas de suivis correct surtout pour des commandes d'un montant important
Je ne recommande pas du tt",Emilie,1 avis,FR,False,,,1
51,Commandes expediées à une mauvaise…,06 mars 2023,"Commandes expediées à une mauvaise adresse et malgré tout, le livreur a mentionné que les articles étaient livrés. Mais à qui ?? Pas au bon destinataire en tout cas! Alors malhonnêté du livreur ou pas??",BEBE,2 avis,FR,True,Showroomprive.com,"Bonjour Beatrice,

Je suis sincèrement désolé d'apprendre que vous n'ayez pas reçu votre commande.

Je vous présente nos excuses pour ce désagrément.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service.

Après vérification, je vous informe votre réclamation vient d'être prise en charge par nos services.

Rassurez-vous, vous serez recontactée dès réception d'informations complémentaires concernant votre demande.

Bien à vous,

Othmane",1
52,3ieme commande d’affilée incomplète,06 mars 2023,3ieme commande d’affilée incomplète. Au prix de l’expédition et de l’éloignement des points relais je suis vraiment très déçue. Car en général je ne commande pas 1 seul objet pour justement amortir les frais d’expéditions,Ingrid,1 avis,FR,True,Showroomprive.com,"Bonjour Ingrid,

Tout d'abord, sachez que votre satisfaction est notre priorité et je vous présente mes excuses pour cette situation.

Il s'agit de la rupture de stock auprès de notre fournisseur dont nous vous faisions part dans notre mail du 24/02/2023.

En effet, les marques nous réservent un stock défini, il arrive dans certains cas que des différences se fassent entre le stock initialement commandé et le stock reçu, c'est ce qui nous différencie des ventes traditionnelles.

Par ailleurs, je vous informe que notre service a pris le soin de procédé au remboursement de l'article manquant de votre commande.

Cordialement,

Othmane",1
53,bien sauf que dans mon colis sur 4…,11 mars 2023,"bien sauf que dans mon colis sur 4 produits ,1 s'est trouvé percé et il y avait du produit un peu partout .",Jacqueline,1 avis,FR,True,Showroomprive.com,"Bonjour Jacqueline,

Je suis sincèrement navrée d'apprendre que vous ayez reçu un produit abimé.

Je vous présente mes excuses pour cette situation.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Cordialement,

Ghita",3
54,Retour,10 mars 2023,Dommage de payer des frais de port pour un changement de taille au niveau du bijoux mais sinon qualité correct 👍 et envoie rapide merci . Cdt,PAULINE,2 avis,FR,True,Showroomprive.com,"Bonjour Pauline,

Vous nous faites part de votre satisfaction concernant la qualité de nos articles ainsi que son délai de livraison rapide.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",4
55,Beaucoup de belles marques,13 mars 2023,"Beaucoup de belles marques, du choix, des prix attractifs. Livraison en temps.",emmanuelle,12 avis,FR,False,,,5
56,Le produit est conforme yc le prix,10 mars 2023,"Le produit est conforme yc le prix
Par contre les délais de livraison sont beaucoup trop longs ce qui n’incite pas à commander",Bruno Lespielle,4 avis,SE,True,Showroomprive.com,"Bonjour Bruno,

Je vous remercie pour votre appréciation.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!

Ce sont vos commentaires qui nous permettent de le faire.

Pour vous expliquer, les contraintes logistiques inhérentes à la nature des ventes événementielles ne nous permettent pas d’accélérer la livraison.

En effet, bien que nous mettions tout en œuvre pour réduire au minimum les délais de livraison, nous restons tributaires de la date de réception de la marchandise envoyée par notre fournisseur, ainsi que du temps nécessaire à la préparation de votre commande.

Par ailleurs, je vous informe avoir remonté cette observation auprès de notre Direction.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Stéphanie",3
57,Belle qualité,12 mars 2023,Commande facile. Livraison aux bonnes dates et les articles commandés donnent toujours satisfaction.,Marie ANTONI,12 avis,FR,True,Showroomprive.com,"Bonjour Marie,

Nous vous remercions d'avoir partagé cette appréciation si positive avec les internautes.

Nous continuerons à faire notre maximum pour vous apporter entière satisfaction.

À très bientôt sur Showroomprive.com.

Bien à vous,

Othmane",5
58,Le carton est arrivé abimé et j'ai eu…,09 mars 2023,Le carton est arrivé abimé et j'ai eu la désagréable surprise de trouver la plus grosse valise avec tout un coté décousu. Inutilisable !!,Valerie,5 avis,FR,True,Showroomprive.com,"Bonjour Valerie,

Nous sommes sincèrement désolés d'apprendre que vous ayez reçu un article défectueux dans votre commande.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir pris en charge votre réclamation et vous confirmons que vous serez recontactée afin de faire suite à votre réclamation.

Cordialement,

Stéphanie",1
59,Produit conforme correspondant à la…,12 mars 2023,Produit conforme correspondant à la présentation de l'article livraison rapide dans les délais annoncés,Josiane,1 avis,FR,True,Showroomprive.com,"Bonjour Josiane,

Merci beaucoup d’avoir pris le temps de rédiger votre avis.

Toute l'équipe est très heureuse de vous lire et votre retour nous encourage à continuer dans ce sens.

Bien à vous,

Othmane",4
60,Articles reçus sales ...,10 mars 2023,"Commande Nike pour ma fille
Je lui prends 3 ensembles , 2 sont sales , tachés. Déception",Client,2 avis,FR,True,Showroomprive.com,"Bonjour Noemie,

Je suis sincèrement navrée d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir pris en charge votre réclamation et vous confirmons que vous serez recontactée afin de faire suite à votre réclamation.

Cordialement,

Ghita",2
61,Rien à redire tout était parfait…,13 mars 2023,Rien à redire tout était parfait commande comme temps de livraison,Nelly Caron,2 avis,FR,False,,,5
62,Contente de mes commandes,11 mars 2023,"Contente de mes commandes, articles livrés rapidement et conformes à la description. Bon service après-vente",Eb,4 avis,FR,True,Showroomprive.com,"Bonjour Emmanuelle,

Vous nous faites part de votre satisfaction concernant la conformité de votre commande ainsi que son délai de livraison rapide.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",4
63,BON ACHAT,11 mars 2023,"BON ACHAT, LIVRAISON RAPIDE, MODELE DEJA CONNU (chaussures birkenstock).RAS",SASSIER elisabeth,3 avis,FR,True,Showroomprive.com,"Bonjour Elisabeth,

Vous nous faites part de votre satisfaction concernant la conformité de votre commande ainsi que son délai de livraison rapide.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",4
64,J'ai reçu très vite les 2 pyjamas…,10 mars 2023,"J'ai reçu très vite les 2 pyjamas commandés pour mon mari et ils correspondent bien à la description, aucun problème",Patricia,10 avis,FR,True,Showroomprive.com,"Bonjour Patricia,

Vous nous faites part de votre satisfaction quant aux produits commandés.

Nous vous remercions pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes et sommes heureux de vous compter parmi nos clients.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
65,La valise reçue est non conforme,10 mars 2023,La valise reçue est non conforme. La valise reçue n’est pas de la couleur commandée!,Sarah,5 avis,FR,True,Showroomprive.com,"Bonjour Sarah,

Je suis sincèrement navrée d'apprendre que votre commande vous ait parvenue non conforme.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir pris en charge votre réclamation et vous confirmons que vous serez recontactée afin de faire suite à votre réclamation.

Cordialement,

Ghita",2
66,Commande reçue dans les délais,11 mars 2023,"Commande reçue dans les délais, articles conforment à notre attente.
Jamais déçus.",Florence,5 avis,FR,True,Showroomprive.com,"Bonjour Florence

Je vous remercie pour cette note positive.

En espérant pouvoir à nouveau vous faire profiter de nos produits.

Bien à vous,

Ghita",5
